Time,Open,High,Low,Close,Volume,index
2017-10-31T05:00:00+0000,1281.5,1281.6,1281.4,1281.5,37,2017-10-31T05:00:00+0000
2017-10-31T06:00:00+0000,1281.7,1281.7,1281.7,1281.7,2,2017-10-31T06:00:00+0000
2017-10-31T07:00:00+0000,1281.0,1281.5,1281.0,1281.3,6,2017-10-31T07:00:00+0000
2017-10-31T08:00:00+0000,1281.2,1281.9,1281.2,1281.3,47,2017-10-31T08:00:00+0000
2017-10-31T09:00:00+0000,1281.0,1281.0,1280.0,1280.1,51,2017-10-31T09:00:00+0000
2017-10-31T10:00:00+0000,1280.4,1280.6,1277.7,1278.0,47,2017-10-31T10:00:00+0000
2017-10-31T11:00:00+0000,1277.5,1278.5,1277.5,1278.4,38,2017-10-31T11:00:00+0000
2017-10-31T12:00:00+0000,1278.5,1279.5,1276.3,1277.0,166,2017-10-31T12:00:00+0000
2017-10-31T13:00:00+0000,1277.0,1277.5,1276.0,1276.6,150,2017-10-31T13:00:00+0000
2017-10-31T14:00:00+0000,1276.2,1276.2,1272.8,1274.3,347,2017-10-31T14:00:00+0000
2017-10-31T15:00:00+0000,1274.2,1275.8,1274.2,1274.5,247,2017-10-31T15:00:00+0000
2017-10-31T16:00:00+0000,1274.2,1274.8,1273.9,1274.0,95,2017-10-31T16:00:00+0000
2017-10-31T17:00:00+0000,1274.2,1275.3,1273.4,1274.8,664,2017-10-31T17:00:00+0000
2017-10-31T18:00:00+0000,1275.5,1276.0,1275.1,1275.5,39,2017-10-31T18:00:00+0000
2017-10-31T19:00:00+0000,1275.2,1277.0,1275.0,1275.6,81,2017-10-31T19:00:00+0000
2017-10-31T20:00:00+0000,1275.8,1276.0,1275.8,1276.0,6,2017-10-31T20:00:00+0000
2017-10-31T22:00:00+0000,1275.7,1275.7,1275.6,1275.6,6,2017-10-31T22:00:00+0000
2017-11-01T00:00:00+0000,1273.6,1273.6,1273.3,1273.5,6,2017-11-01T00:00:00+0000
